Pattern,Intent,Entity,,,,,,,
,,Entity 1,Entity type 1,Entity 2,Entity type 2,Entity 3,Entity type 3,Entity 4,Entity type 4
Tôi tên là Vỹ,Nói tên,Vỹ,Tên,,,,,,
Tôi tên là Linh,Nói tên,Linh,Tên,,,,,,
Tôi tên là Nhân,Nói tên,Nhân,Tên,,,,,,
Tôi tên là Hoa và bạn tôi là Nhân,Nói tên,Hoa,Tên,Nhân,Tên,,,,
Tôi tên là Thuần,Nói tên,Thuần,Tên,,,,,,
Tôi tên là Nguyệt,Nói tên,Nguyệt,Tên,,,,,,
Tôi tên là Trang,Nói tên,Trang,Tên,,,,,,
Tôi năm nay 13 tuổi,Nói tuổi,13,Tuổi,,,,,,
Tôi năm nay 14 tuổi,Nói tuổi,14,Tuổi,,,,,,
Tôi năm nay 15 tuổi,Nói tuổi,15,Tuổi,,,,,,
Tôi năm nay 16 tuổi,Nói tuổi,16,Tuổi,,,,,,
Tôi năm nay 17 tuổi,Nói tuổi,17,Tuổi,,,,,,
Tôi năm nay 18 tuổi,Nói tuổi,18,Tuổi,,,,,,
Tôi năm nay 19 tuổi,Nói tuổi,19,Tuổi,,,,,,
Tôi năm nay 20 tuổi,Nói tuổi,20,Tuổi,,,,,,
Xin chào,Chào hỏi,,,,,,,,
